Energy(eV)	Energy(eV)	3d-alpha	3d-beta	2p-alpha	2p-beta	 < S_x > 	 < S_y > 	 < S_z > 	 < S2 > 	 < L_x > 	 < L_y > 	 < L_z > 	 < L2 > 	 < LS > 	 < J2 >
-9.73204	 0.00000	0 1 1 1 1	1 0 1 1 0	1 1 1	1 1 0	-0.00000	 0.00000	 0.00000	 3.73203	-0.00000	 0.00000	 0.00000	11.14793	 4.07746	23.03488
-9.70526	 0.02678	0 1 1 1 1	0 1 1 0 1	1 1 1	1 1 0	-0.00000	 0.00000	 0.43460	 3.73154	-0.00000	 0.00000	 0.23172	11.14299	 3.99701	22.86855
-9.70526	 0.02678	0 1 1 1 1	0 1 1 1 0	1 1 1	1 1 0	 0.00000	 0.00000	-0.43460	 3.73154	 0.00000	 0.00000	-0.23172	11.14299	 3.99701	22.86855
-9.62117	 0.11087	0 1 1 1 1	1 0 0 1 1	1 1 1	1 1 0	 0.00000	 0.00000	 0.84461	 3.72642	 0.00000	 0.00000	 0.49074	11.12317	 3.75521	22.36001
-9.62117	 0.11087	0 1 1 1 1	1 1 0 0 1	1 1 1	1 1 0	 0.00000	 0.00000	-0.84461	 3.72642	 0.00000	 0.00000	-0.49074	11.12317	 3.75521	22.36001
-9.46391	 0.26813	1 0 0 0 1	1 1 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	 1.18542	 3.71195	 0.00000	 0.00000	 0.82784	11.07103	 3.39995	21.58287
-9.46391	 0.26813	0 1 1 1 1	1 1 0 1 0	1 1 1	1 1 0	-0.00000	 0.00000	-1.18542	 3.71195	-0.00000	 0.00000	-0.82784	11.07103	 3.39995	21.58287
-9.18920	 0.54284	0 1 1 1 1	0 1 1 0 1	1 1 1	1 0 1	-0.00000	 0.00000	 1.35767	 3.69605	-0.00000	 0.00000	 1.40278	10.98890	 3.34575	21.37644
-9.18920	 0.54284	0 1 1 1 1	1 0 1 0 1	1 1 1	1 1 0	-0.00000	 0.00000	-1.35767	 3.69605	-0.00000	 0.00000	-1.40278	10.98890	 3.34575	21.37644
-8.98683	 0.74521	0 1 1 1 0	1 1 1 1 0	1 1 1	1 0 1	-0.00000	 0.00000	-0.00000	 3.00566	-0.00000	 0.00000	 0.00000	 9.01753	 0.57247	13.16813
-8.95539	 0.77665	0 1 0 1 1	0 1 1 1 1	1 1 1	1 0 1	-0.00000	 0.00000	-0.40092	 3.02248	-0.00000	 0.00000	-0.34097	 9.28538	 0.40914	13.12613
-8.95539	 0.77665	0 1 0 1 0	1 1 1 1 1	1 1 1	1 0 1	-0.00000	 0.00000	 0.39527	 3.02248	-0.00000	 0.00000	 0.33617	 9.28538	 0.40914	13.12613
-8.87325	 0.85879	0 1 0 0 1	1 1 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	 0.54794	 2.97601	-0.00000	 0.00000	 0.81421	10.15506	 0.18716	13.50539
-8.87325	 0.85879	0 1 1 1 1	0 1 0 1 1	1 1 1	1 0 1	 0.00000	 0.00000	-0.54794	 2.97601	 0.00000	 0.00000	-0.81421	10.15506	 0.18716	13.50539
-8.83806	 0.89398	0 1 1 1 1	0 1 1 1 0	1 1 1	1 0 1	 0.00000	 0.00000	-1.23484	 3.61097	 0.00000	 0.00000	-2.54909	12.51626	 4.37724	24.88172
