Energy(eV)	Energy(eV)	3d-alpha	3d-beta	2p-alpha	2p-beta	 < S_x > 	 < S_y > 	 < S_z > 	 < S2 > 	 < L_x > 	 < L_y > 	 < L_z > 	 < L2 > 	 < LS > 	 < J2 >
-2.32055	 0.00000	1 1 1 0 0	1 1 1 0 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.00000	 5.88558	 0.00000	 0.00000	-0.00000	 6.16260	 3.76032	19.56881
-2.31858	 0.00197	1 1 1 0 0	1 1 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	-0.63713	 5.84040	-0.00000	 0.00000	-0.36203	 6.26899	 3.57054	19.25048
-2.31858	 0.00197	1 1 0 1 0	1 0 1 1 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.62202	 5.84040	 0.00000	 0.00000	 0.35344	 6.26899	 3.57054	19.25048
-2.30836	 0.01219	1 1 0 1 0	1 1 0 0 1	1 1 1	1 1 1	-0.00000	 0.00000	 1.30285	 5.80022	-0.00000	 0.00000	 0.69715	 6.35170	 3.07283	18.29758
-2.30836	 0.01219	1 1 1 0 1	1 0 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	-1.30285	 5.80022	-0.00000	 0.00000	-0.69715	 6.35170	 3.07283	18.29758
-2.28333	 0.03722	1 1 0 0 1	0 0 1 1 1	1 1 1	1 1 1	 0.00000	 0.00000	 1.95082	 5.81354	 0.00000	 0.00000	 1.04918	 6.34719	 2.15921	16.47915
-2.28333	 0.03722	1 1 1 0 1	1 0 1 0 0	1 1 1	1 1 1	 0.00000	 0.00000	-1.95082	 5.81354	 0.00000	 0.00000	-1.04918	 6.34719	 2.15921	16.47915
-2.20043	 0.12012	1 1 0 1 1	1 0 1 0 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.00000	 5.95194	 0.00000	 0.00000	-0.00000	 6.02902	-0.89444	10.19208
-2.19956	 0.12099	1 1 0 1 0	1 1 1 0 0	1 1 1	1 1 1	-0.00000	 0.00000	-1.01282	 5.88754	-0.00000	 0.00000	 0.01282	 6.18761	-1.04636	 9.98244
-2.19956	 0.12099	1 1 0 1 0	1 1 0 1 0	1 1 1	1 1 1	 0.00000	 0.00000	 1.01163	 5.88754	 0.00000	 0.00000	-0.01281	 6.18761	-1.04636	 9.98244
-2.18593	 0.13462	1 1 1 0 1	1 0 0 0 1	1 1 1	1 1 1	 0.00000	 0.00000	-1.62240	 5.86125	 0.00000	 0.00000	-0.37760	 6.16515	-1.86226	 8.30189
-2.18593	 0.13462	1 1 0 0 1	1 1 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 1.62240	 5.86125	-0.00000	 0.00000	 0.37760	 6.16515	-1.86226	 8.30189
-2.13202	 0.18853	1 1 0 1 1	1 0 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	-1.28573	 5.90305	 0.00000	 0.00000	 0.28601	 6.01165	-4.34955	 3.21561
-2.13202	 0.18853	1 1 0 0 1	0 1 0 1 1	1 1 1	1 1 1	-0.00000	 0.00000	 1.28559	 5.90305	 0.00000	 0.00000	-0.28598	 6.01165	-4.34955	 3.21561
-2.12679	 0.19376	1 1 0 1 1	1 0 0 0 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.00000	 5.90815	-0.00000	 0.00000	 0.00000	 5.96218	-4.61538	 2.63958
-1.99971	 0.32084	1 1 0 0 0	1 1 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.91203	 2.14840	 0.00000	 0.00000	 1.91179	17.12437	-1.05311	17.16656
