# Energy_1	Intensity_1
7.800000000000000000e+02	5.436125426410060214e-05
7.800240096038415913e+02	5.446061708875280151e-05
7.800480192076830690e+02	5.456025629089521694e-05
7.800720288115246603e+02	5.466017290651522506e-05
7.800960384153661380e+02	5.476036797649385741e-05
7.801200480192077293e+02	5.486084254663400325e-05
7.801440576230492070e+02	5.496159766768832781e-05
7.801680672268907983e+02	5.506263439538767833e-05
7.801920768307322760e+02	5.516395379046956475e-05
7.802160864345738673e+02	5.526555691870669451e-05
7.802400960384153450e+02	5.536744485093611051e-05
7.802641056422569363e+02	5.546961866308796311e-05
7.802881152460984140e+02	5.557207943621491237e-05
7.803121248499400053e+02	5.567482825652167927e-05
7.803361344537814830e+02	5.577786621539448865e-05
7.803601440576230743e+02	5.588119440943099315e-05
7.803841536614645520e+02	5.598481394047049534e-05
7.804081632653061433e+02	5.608872591562393271e-05
7.804321728691476210e+02	5.619293144730459446e-05
7.804561824729892123e+02	5.629743165325862145e-05
7.804801920768306900e+02	5.640222765659596020e-05
7.805042016806722813e+02	5.650732058582146592e-05
7.805282112845137590e+02	5.661271157486607333e-05
7.805522208883553503e+02	5.671840176311855700e-05
7.805762304921968280e+02	5.682439229545698678e-05
7.806002400960384193e+02	5.693068432228087436e-05
7.806242496998800107e+02	5.703727899954320473e-05
7.806482593037214883e+02	5.714417748878288086e-05
7.806722689075630797e+02	5.725138095715734469e-05
7.806962785114045573e+02	5.735889057747536743e-05
7.807202881152461487e+02	5.746670752823009742e-05
7.807442977190876263e+02	5.757483299363234513e-05
7.807683073229292177e+02	5.768326816364411209e-05
7.807923169267706953e+02	5.779201423401232320e-05
7.808163265306122867e+02	5.790107240630268083e-05
7.808403361344537643e+02	5.801044388793416968e-05
7.808643457382953557e+02	5.812012989221308030e-05
7.808883553421368333e+02	5.823013163836806275e-05
7.809123649459784247e+02	5.834045035158478719e-05
7.809363745498199023e+02	5.845108726304122106e-05
7.809603841536614937e+02	5.856204360994304192e-05
7.809843937575029713e+02	5.867332063555919240e-05
7.810084033613445627e+02	5.878491958925786905e-05
7.810324129651860403e+02	5.889684172654262615e-05
7.810564225690276317e+02	5.900908830908872370e-05
7.810804321728691093e+02	5.912166060477983437e-05
7.811044417767107007e+02	5.923455988774497415e-05
7.811284513805521783e+02	5.934778743839558209e-05
7.811524609843937696e+02	5.946134454346299977e-05
7.811764705882352473e+02	5.957523249603607283e-05
7.812004801920768386e+02	5.968945259559928776e-05
7.812244897959183163e+02	5.980400614807061056e-05
7.812484993997599076e+02	5.991889446584046380e-05
7.812725090036014990e+02	6.003411886781003962e-05
7.812965186074429766e+02	6.014968067943054787e-05
7.813205282112845680e+02	6.026558123274239641e-05
7.813445378151260456e+02	6.038182186641490685e-05
7.813685474189676370e+02	6.049840392578605732e-05
7.813925570228091146e+02	6.061532876290259792e-05
7.814165666266507060e+02	6.073259773656041019e-05
7.814405762304921836e+02	6.085021221234551025e-05
7.814645858343337750e+02	6.096817356267460474e-05
7.814885954381752526e+02	6.108648316683675807e-05
7.815126050420168440e+02	6.120514241103465990e-05
7.815366146458583216e+02	6.132415268842661079e-05
7.815606242496999130e+02	6.144351539916881972e-05
7.815846338535413906e+02	6.156323195045762693e-05
7.816086434573829820e+02	6.168330375657241126e-05
7.816326530612244596e+02	6.180373223891857872e-05
7.816566626650660510e+02	6.192451882607110682e-05
